                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.300/  ct = 0.030/  initial temp = 1.00E+02/  final temp = 1.00E-07/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
 2.485E-03   2.881E+07   3.211E-10   0.000E+00   2.187E-10   3.174E-13   1.702E+01   1.629E+06   6.139E-10   1.737E-08   1.201E-13
 1.560E-03   7.311E+07   4.984E-11   0.000E+00   3.395E-11   7.848E-14   1.702E+01   4.135E+06   6.139E-10   6.846E-09   1.201E-13
 9.791E-04   1.856E+08   7.735E-12   0.000E+00   5.269E-12   1.941E-14   1.702E+01   1.049E+07   6.139E-10   2.698E-09   1.201E-13
 6.145E-04   4.709E+08   1.201E-12   0.000E+00   8.177E-13   4.798E-15   1.702E+01   2.662E+07   6.139E-10   1.063E-09   1.201E-13
 3.857E-04   1.195E+09   1.863E-13   0.000E+00   1.269E-13   1.186E-15   1.702E+01   6.753E+07   6.139E-10   4.191E-10   1.201E-13
 2.421E-04   3.030E+09   2.891E-14   0.000E+00   1.969E-14   2.934E-16   1.702E+01   1.712E+08   6.139E-10   1.653E-10   1.201E-13
 1.721E-04   5.989E+09   7.388E-15   0.000E+00   5.032E-15   1.054E-16   1.702E+01   1.903E+08   6.139E-10   8.366E-11   1.201E-13
 1.392E-04   9.153E+09   3.158E-15   0.000E+00   2.151E-15   5.573E-17   1.702E+01   2.050E+08   6.139E-10   5.475E-11   1.201E-13
 1.149E-04   1.342E+10   1.466E-15   0.000E+00   9.984E-16   3.134E-17   1.702E+01   6.152E+08   6.139E-10   3.734E-11   1.201E-13
 7.210E-05   3.400E+10   2.274E-16   0.000E+00   1.549E-16   7.749E-18   1.702E+01   1.918E+09   6.139E-10   1.476E-11   1.201E-13
 4.525E-05   8.599E+10   3.529E-17   0.000E+00   2.404E-17   1.916E-18   1.702E+01   4.841E+09   6.139E-10   5.850E-12   1.201E-13
 2.840E-05   2.170E+11   5.474E-18   0.000E+00   3.728E-18   4.735E-19   1.702E+01   1.218E+10   6.139E-10   2.325E-12   1.201E-13
 1.782E-05   5.458E+11   8.488E-19   0.000E+00   5.782E-19   1.170E-19   1.702E+01   3.050E+10   6.139E-10   9.288E-13   1.201E-13
 1.118E-05   1.366E+12   1.316E-19   0.000E+00   8.962E-20   2.890E-20   1.702E+01   7.584E+10   6.139E-10   3.738E-13   1.201E-13
 7.377E-06   3.075E+12   2.493E-20   0.000E+00   1.698E-20   8.300E-21   1.702E+01   1.182E+11   6.139E-10   1.675E-13   1.201E-13
 5.249E-06   5.939E+12   6.388E-21   0.000E+00   4.351E-21   2.990E-21   1.702E+01   3.241E+11   6.139E-10   8.759E-14   1.201E-13
 3.291E-06   1.447E+13   9.879E-22   0.000E+00   6.729E-22   7.372E-22   1.702E+01   7.765E+11   6.139E-10   3.661E-14   1.201E-13
 2.063E-06   3.463E+13   1.526E-22   0.000E+00   1.039E-22   1.816E-22   1.702E+01   1.820E+12   6.139E-10   1.565E-14   1.201E-13
 1.293E-06   8.117E+13   2.352E-23   0.000E+00   1.602E-23   4.469E-23   1.702E+01   4.156E+12   6.139E-10   6.861E-15   1.201E-13
 8.099E-07   1.858E+14   3.622E-24   0.000E+00   2.467E-24   1.098E-23   1.702E+01   9.247E+12   6.139E-10   3.089E-15   1.201E-13
 5.071E-07   4.152E+14   5.567E-25   0.000E+00   3.792E-25   2.697E-24   1.702E+01   2.008E+13   6.139E-10   1.425E-15   1.201E-13
 3.174E-07   9.069E+14   8.547E-26   0.000E+00   5.822E-26   6.614E-25   1.702E+01   4.269E+13   6.139E-10   6.707E-16   1.201E-13
 1.987E-07   1.942E+15   1.311E-26   0.000E+00   8.930E-27   1.621E-25   1.702E+01   8.934E+13   6.139E-10   3.208E-16   1.201E-13
 1.243E-07   4.094E+15   2.010E-27   0.000E+00   1.369E-27   3.971E-26   1.702E+01   1.848E+14   6.139E-10   1.552E-16   1.201E-13
 9.832E-08   5.914E+15   7.866E-28   0.000E+00   5.358E-28   1.965E-26   1.702E+01   2.649E+14   6.139E-10   1.083E-16   1.201E-13




